,Headlines,Summary,Press,Date,Keyword
0,"I served in Iraq and Afghanistan but the horrors of war turned me into an 
£120 an hour sex worker...","A WAR hero traumatised by the horrors of combat is now working as a 
£120-an-hour escort.Grace Parker, 35, served in Iraq and Afghanistan but...",The Sun,1 day ago,Afghanistan
1,"The forever war in Afghanistan is nowhere near its end. Now IS indulging in 
ethnic warfare","Islamic State is seeking to overthrow the Taliban—quietly helped along by 
the discontent in its own ranks, economic crisis, and disputes...",ThePrint,2 weeks ago,Afghanistan
2,"Hell at Abbey Gate: Chaos, Confusion and Death in the Final Days of the War 
in Afghanistan","In firsthand accounts, Afghan civilians and U.S. Marines describe the 
desperate struggle to flee through the Kabul airport's last open...",ProPublica,1 month ago,Afghanistan
3,‘A second Afghanistan’: Doubts over Russia’s war prosecution,"Russia's lack of progress in its war against Ukraine has been noted by 
analysts since it launched a second phase.",Al Jazeera,5 days ago,Afghanistan
4,Afghanistan: Former army general vows new war against Taliban,"Lt Gen Sami Sadat tells the BBC of planned operations but many Afghans are 
weary of more conflict.",BBC,1 week ago,Afghanistan
5,Putin's Afghanistan,"As Russian President Vladimir Putin's invasion of Ukraine has progressed, 
it is clear that almost nothing has gone according to plan.",Foreign Affairs,1 month ago,Afghanistan
6,"A Year After Biden's Announcement, Afghanistan Is Now Someone Else's 
Problem | Opinion","Today, with U.S. forces no longer carrying Afghanistan on their shoulders, 
the responsibility is now thrusted onto Kabul's own neighbors,...",Newsweek,3 weeks ago,Afghanistan
7,Ukraine war could worsen crises in Yemen and Afghanistan,"While the world focuses on Ukraine, the UN warns humanitarian needs 
elsewhere are also growing.",BBC,1 month ago,Afghanistan
8,Why NSW won’t support war memorial,"The NSW Veterans Minister has said he won't support a Labor suggestion to 
honour troops who fought in Iraq and Afghanistan for one reason.",News.com.au,2 weeks ago,Afghanistan
9,The war in Ukraine is exacerbating food insecurity in ...,"The crisis in Ukraine is causing more food insecurity for people in 
Afghanistan, who are already going hungry in a country roiled by...",NPR,1 day ago,Afghanistan
10,"New life, new struggles: Afghans still adjusting to US","Afghan refugees, some of whom faced possible reprisals for working with 
their government or American forces during the war with the Taliban,...",Al Arabiya,7 hours ago,Afghanistan
11,Still at War: The Forever War Legal Paradigm in Afghanistan,"the United States ended 20 years of war in Afghanistan — the longest war in 
American history.” But while fighting against the Taliban may be...",Just Security,4 weeks ago,Afghanistan
12,The Afghan War May Not Be Over,"The Afghan War May Not Be Over. The Islamic State group is not as strong as 
it once was, but it remains a serious threat to the Taliban.",New Lines Magazine,3 weeks ago,Afghanistan
13,The war in Ukraine is exacerbating food insecurity in ...,"On top of that, there's a wheat shortage, and it's all felt in a country 
that's had enough trouble already - Afghanistan.",KSJD,1 day ago,Afghanistan
14,This Is No Time to Disengage from Afghanistan's War,"The countries involved as warring parties in the first, second, and third 
phases of Afghanistan's conflict cannot afford to disengage from...",The National Interest,1 week ago,Afghanistan
