idx,main_speaker,title,details,posted,url,num_views
8d2005ec35280deb6a438dc87b225f89,Alexandra Auer,The intangible effects of walls,"More barriers exist now than at the end of World War II, says designer Alexandra Auer. And when you erect one wall, you unwittingly create a second -- an ""us"" versus ""them"" partition in the mind that compromises our collective safety. With intriguing results from her social design project focused on two elementary schools separated by a fence, Auer encourages us to dismantle our biases and regain perspective on all the things we have in common.",Posted Apr 2020,https://www.ted.com/talks/alexandra_auer_the_intangible_effects_of_walls_apr_2020,
b3072cd11f40eb57fd259555264476c6,Elizabeth Gilbert,It's OK to feel overwhelmed. Here's what to do next,"If you're feeling anxious or fearful during the coronavirus pandemic, you're not alone. Offering hope and understanding, author Elizabeth Gilbert reflects on how to stay present, accept grief when it comes and trust in the strength of the human spirit. ""Resilience is our shared genetic inheritance,"" she says. (This virtual conversation is part of the TED Connects series, hosted by head of TED Chris Anderson and head of curation Helen Walters. Recorded April 2, 2020)",Posted Apr 2020,https://www.ted.com/talks/elizabeth_gilbert_it_s_ok_to_feel_overwhelmed_here_s_what_to_do_next,
4adc9fee977fa04c357ed4c9b52aa3cc,Butterscotch,"""Accept Who I Am""","Firing off her formidable beatboxing skills, musician Butterscotch serenades -- over a hauntingly beautiful backtrack made live on stage -- and shares pieces of her own story as a shoutout to those struggling through dark times. ""We have to be compassionate with ourselves, allow acceptance for who we are -- even on our worst days when we're still doing our best,"" she says.",Posted Apr 2020,https://www.ted.com/talks/butterscotch_accept_who_i_am,0
59c641a72b495d522a7932145d6c02b3,Ethan Lisi,What it's really like to have autism,"""Autism is not a disease; it's just another way of thinking,"" says Ethan Lisi. Offering a glimpse into the way he experiences the world, Lisi breaks down misleading stereotypes about autism, shares insights into common behaviors like stimming and masking and promotes a more inclusive understanding of the spectrum.",Posted Apr 2020,https://www.ted.com/talks/ethan_lisi_what_it_s_really_like_to_have_autism,
d227f2faf6ec185e54436d86463f499b,Daniel Finkel,Can you solve the sea monster riddle?,"According to legend, once every thousand years a host of sea monsters emerges from the depths to demand tribute from the floating city of Atlantartica. As the ruler of the city, you'd always dismissed the stories... until today, when they rose out of the roiling waters, surrounded your city and demanded a ransom of pearls. Can you figure out which chest of pearls is the ransom? Dan Finkel shows how. [Directed by Artrake Studio, narrated by Addison Anderson].",Posted Apr 2020,https://www.ted.com/talks/daniel_finkel_can_you_solve_the_sea_monster_riddle,0
fe612cc9179e038f97816fce891022a6,Matt Walker,Why sleep matters now more than ever,"A good night's sleep has perhaps never been more important. Sharing wisdom and debunking myths, sleep scientist Matt Walker discusses the impact of sleep on mind and body -- from unleashing your creative powers to boosting your memory and immune health -- and details practices you can start (and stop) doing tonight to get some rest. (This virtual conversation is part of the TED Connects series, hosted by head of TED Chris Anderson and current affairs curator Whitney Pennington Rodgers. Recorded April 1, 2020)",Posted Apr 2020,https://www.ted.com/talks/matt_walker_why_sleep_matters_now_more_than_ever,
6e67b6ad4cc6b420fe86fb975925fb32,Sonia Shah,"How to make pandemics optional, not inevitable","What can past pandemics teach us how to tackle the current one? Tracing the history of contagions from cholera to Ebola and beyond, science journalist Sonia Shah explains why we're more vulnerable to outbreaks now than ever before, what we can do to minimize the spread of coronavirus and how to prevent future pandemics. (This virtual conversation is part of the TED Connects series, hosted by science curator David Biello and current affairs curator Whitney Pennington Rodgers. Recorded March 31, 2020)",Posted Apr 2020,https://www.ted.com/talks/sonia_shah_how_to_make_pandemics_optional_not_inevitable,
c593d7fd658f9ff5bc0c1aee2e9c917e,Mary Ellen Hannibal,How you can help save the monarch butterfly — and the planet,"Monarch butterflies are dying at an alarming rate around the world -- a looming extinction that could also put human life at risk. But we have just the thing to help save these insects, says author Mary Ellen Hannibal: citizen scientists. Learn how these grassroots volunteers are playing a crucial role in measuring and rescuing the monarch's dwindling population -- and how you could join their ranks to help protect nature. (You'll be in good company: Charles Darwin was a citizen scientist!)",Posted Apr 2020,https://www.ted.com/talks/mary_ellen_hannibal_how_you_can_help_save_the_monarch_butterfly_and_the_planet,
8c1fad5ce0dab8908dee527f88697ce2,Todd Dufresne,History vs. Sigmund Freud,"Working in Vienna at the turn of the 20th century, he began his career as a neurologist before pioneering the discipline of psychoanalysis, and his influence towers above that of all other psychologists in the public eye. But was Sigmund Freud right about human nature? And were his methods scientific? Todd Dufresne puts this controversial figure on trial in History vs. Sigmund Freud. [Directed by Brett Underhill, narrated by Addison Anderson].",Posted Mar 2020,https://www.ted.com/talks/todd_dufresne_history_vs_sigmund_freud,
5be32167a2dcc08470287a6029b7e4c5,Rabbi Lord Jonathan Sacks,How we can navigate the coronavirus pandemic with courage and hope,"Rabbi Lord Jonathan Sacks offers thoughts on how we can navigate the coronavirus pandemic with courage, hope and empathy. With wisdom and clarity, he speaks on leadership, fear, death, hope and how we could use this moment to build a more just world. Watch for a special, impromptu prayer about halfway through the conversation. (This virtual conversation is part of the TED Connects series, hosted by head of TED Chris Anderson and head of curation Helen Walters. Recorded March 30, 2020)",Posted Mar 2020,https://www.ted.com/talks/rabbi_lord_jonathan_sacks_how_we_can_navigate_the_coronavirus_pandemic_with_courage_and_hope,
fa2133f1e5a865a5a5044777824fe147,Martha Minow,How forgiveness can create a more just legal system,"Pardons, commutations and bankruptcy laws are all tools of forgiveness within the US legal system. Are we using them frequently enough, and with fairness? Law professor Martha Minow outlines how these merciful measures can reinforce racial and economic inequality -- and makes the case for creating a system of restorative justice that focuses on accountability and reconciliation rather than punishment.",Posted Mar 2020,https://www.ted.com/talks/martha_minow_how_forgiveness_can_create_a_more_just_legal_system,
586938c5a53d9b916498a893248a5da3,Priya Parker,How to create meaningful connections while apart,"Author Priya Parker shares tools for creating meaningful connections with friends, family and coworkers during the coronavirus pandemic -- and shows how we can take advantage of gatherings that are unique to this moment of social distancing. ""We don't necessarily need to gather more,"" she says. ""We need to gather better."" (This virtual conversation is part of the TED Connects series, hosted by head of TED Chris Anderson and current affairs curator Whitney Pennington Rodgers. Recorded March 27, 2020)",Posted Mar 2020,https://www.ted.com/talks/priya_parker_how_to_create_meaningful_connections_while_apart,
09704782c2fd58e9198a4cc8f04e30d0,Alex Gendler,How the world's longest underwater tunnel was built,"Flanked by two powerful nations, the English Channel has long been one of the world's most important maritime passages. Yet for most of its history, crossing was a dangerous prospect. Engineers proposed numerous plans for spanning the gap, including a design for an underwater passage more than twice the length of any existing tunnel. Alex Gendler details the creation of the Channel Tunnel. [Directed by Studio Kimchi, narrated by Addison Anderson, music by Aurélien Vieira Lino].",Posted Mar 2020,https://www.ted.com/talks/alex_gendler_how_the_world_s_longest_underwater_tunnel_was_built,
d564abb00bb146ff75c7ed2d9b48aadc,Elisabeth Pierre,Et si la bière était féminine ? | Elisabeth Pierre | TEDxToulouse,"Cette présentation a été faite lors d'un événement TEDx local, produit indépendamment des conférences TED.

Elisabeth Pierre est passionnée des bières et connaît toutes les facettes de sa boisson préférée. Elle aime aussi casser les stéréotypes et montre combien la bière est en fait plus féminine que masculine. 

Elisabeth est zythologue, une des quelques femmes experte en bière. Son travail et ses recherches avec des producteurs, chercheurs et cuisiniers ainsi que ses conférences et ses programmes de développement en font une référence sur le sujet. Une grande part de son message insiste sur le lien fort entre la bière et les femmes au travers des siècles.",Posted Mar 2020,https://www.ted.com/talks/elisabeth_pierre_l_histoire_inedite_des_femmes_a_l_origine_de_la_biere,0
9d3f203c5a8a124ec5a1b21fe3ad1842,Alicia Malone,The overlooked legacy of Hollywood's first female directors,"The perspectives movies are told from filter into our life choices, personal philosophies and very identities. Film journalist Alicia Malone tells the forgotten stories of Hollywood's very first female directors to illustrate how a diversity in cinema could benefit us all.",Posted Mar 2020,https://www.ted.com/talks/alicia_malone_the_overlooked_legacy_of_hollywood_s_first_female_directors,
c8a830e0143916293557b7276958ac48,Kathy Kleiman,The pioneering women who helped create modern computing,"In this eye-opening talk, digital rights expert Kathy Kleiman describes her efforts to uncover the hidden story behind an old photograph she found as an undergraduate researcher. Despite showing both men and women working on the groundbreaking Electronic Numerical Integrator and Computer (ENIAC) in 1946, the caption only named the men. What followed for Kleiman was a years-long journey to locate and celebrate the achievements of these pioneering women - ENIAC's first programmers.",Posted Mar 2020,https://www.ted.com/talks/kathy_kleiman_the_pioneering_women_who_helped_create_modern_computing,0
f5ae6143fa79ba55deb5e9e720b4c681,Seth Berkley,The quest for the coronavirus vaccine,"When will the coronavirus vaccine be ready? Epidemiologist Seth Berkley (head of Gavi, the Vaccine Alliance) takes us inside the effort to create a vaccine for COVID-19. With clarity and urgency, he explains what makes it so challenging to develop, when we can expect it to be rolled out at scale and why we'll need global collaboration to get it done. (This virtual conversation is part of the TED Connects series, hosted by head of TED Chris Anderson and current affairs curator Whitney Pennington Rodgers. Recorded March 26, 2020)",Posted Mar 2020,https://www.ted.com/talks/seth_berkley_the_quest_for_the_coronavirus_vaccine,
0cdccbb0c544e4909e1b4716f52f2280,Hindou Oumarou Ibrahim,Indigenous knowledge meets science to solve climate change,"To tackle a problem as large as climate change, we need both science and Indigenous wisdom, says environmental activist Hindou Oumarou Ibrahim. In this engaging talk, she shares how her nomadic community in Chad is working closely with scientists to restore endangered ecosystems -- and offers lessons on how to create more resilient communities.",Posted Mar 2020,https://www.ted.com/talks/hindou_oumarou_ibrahim_indigenous_knowledge_meets_science_to_solve_climate_change,
